32
0	1387	1354	1540	1817	1650	1059	1822	1864	1224	1350	1739	1824	1494	1606	1925	1552	1895	1976	1055	1131	1782	1546	1296	1430	1973	1420	2022	1676	1163	1972	1393	
1387	0	1479	1549	1685	1891	1789	1777	1581	1840	1705	1285	1573	1190	1189	1763	1465	1142	1347	1443	1556	1026	1140	2003	1615	1584	1819	1873	1768	1284	1303	1983	
1354	1479	0	1621	1600	1260	1088	1890	1940	1422	1419	1320	1391	1049	1095	1518	1312	1500	1233	1182	1642	1322	1450	1200	1253	2045	1374	1068	1530	1523	1264	1559	
1540	1549	1621	0	1126	1273	1359	1711	1151	1522	1044	1042	1609	2042	1313	1637	1337	1683	2030	1520	1585	1780	1165	1690	1806	1502	1292	1744	1784	1193	1596	1248	
1817	1685	1600	1126	0	2031	1673	1343	1679	1785	1707	1175	1903	1648	1527	1624	1815	2043	1640	1103	1121	1052	1758	1170	1124	1751	1179	1736	1133	1206	1801	1686	
1650	1891	1260	1273	2031	0	1444	1113	2012	1831	1610	1702	1614	1111	1851	1558	1859	1394	1997	1514	1769	1592	2026	1856	2016	1934	1918	1405	1977	1213	1306	1722	
1059	1789	1088	1359	1673	1444	0	1066	1351	1590	1105	1646	1924	1800	1725	1380	1880	1362	1349	1656	1574	1357	1771	1159	1870	1897	1962	1935	1138	1413	1695	1732	
1822	1777	1890	1711	1343	1113	1066	0	1390	1572	1378	1618	1536	1400	1599	1027	2032	1258	1988	1759	1659	1810	1921	1524	1529	1406	1657	1929	1804	1735	1286	1369	
1864	1581	1940	1151	1679	2012	1351	1390	0	2027	1038	1865	1567	1922	1799	1937	1630	1297	1841	1076	1073	1821	1969	1662	1651	1820	1034	1404	1259	1167	1249	1266	
1224	1840	1422	1522	1785	1831	1590	1572	2027	0	1639	1687	1525	1971	1079	1845	1697	1325	1591	1636	1086	1416	1466	1162	1837	1641	1346	1078	1597	1287	1048	1143	
1350	1705	1419	1044	1707	1610	1105	1378	1038	1639	0	1289	1950	1239	1043	1237	1098	1065	2021	2033	1491	1367	2035	1063	1122	1311	1814	1437	1666	1344	1478	1463	
1739	1285	1320	1042	1175	1702	1646	1618	1865	1687	1289	0	1945	1528	1901	1982	1177	1148	1701	1334	1669	1967	1468	1946	1403	1211	1082	1960	1428	1616	1680	1282	
1824	1573	1391	1609	1903	1614	1924	1536	1567	1525	1950	1945	0	1926	1447	1586	1247	1866	1452	1117	2011	1996	1930	1383	1381	1883	1509	1485	1144	1210	1241	1664	
1494	1190	1049	2042	1648	1111	1800	1400	1922	1971	1239	1528	1926	0	1147	1507	1045	1750	1838	1715	1097	1474	1154	1519	1703	1836	1594	1184	1433	1417	1846	1603	
1606	1189	1095	1313	1527	1851	1725	1599	1799	1079	1043	1901	1447	1147	0	1555	1853	1672	1812	1947	1625	1092	1085	1718	1153	1368	1304	1114	1993	1512	1228	1863	
1925	1763	1518	1637	1624	1558	1380	1027	1937	1845	1237	1982	1586	1507	1555	0	1426	1298	1203	1762	1408	1395	1355	1030	1888	1127	1434	1271	1174	1958	1283	1205	
1552	1465	1312	1337	1815	1859	1880	2032	1630	1697	1098	1177	1247	1045	1853	1426	0	1756	1798	1487	1053	1963	1294	1050	1299	2018	1688	1698	1737	2006	1336	1915	
1895	1142	1500	1683	2043	1394	1362	1258	1297	1325	1065	1148	1866	1750	1672	1298	1756	0	1492	1456	1948	1807	1402	1681	1202	1620	1277	1093	1449	1307	1425	1102	
1976	1347	1233	2030	1640	1997	1349	1988	1841	1591	2021	1701	1452	1838	1812	1203	1798	1492	0	2038	1923	1580	1938	1792	1301	1499	1180	1956	1869	1475	1898	1040	
1055	1443	1182	1520	1103	1514	1656	1759	1076	1636	2033	1334	1117	1715	1947	1762	1487	1456	2038	0	1399	1457	1120	1324	1146	1358	1250	1490	1329	1542	1531	1823	
1131	1556	1642	1585	1121	1769	1574	1659	1073	1086	1491	1669	2011	1097	1625	1408	1053	1948	1923	1399	0	1473	1141	1733	1764	1134	1028	1128	1955	1773	1164	1207	
1782	1026	1322	1780	1052	1592	1357	1810	1821	1416	1367	1967	1996	1474	1092	1395	1963	1807	1580	1457	1473	0	1361	1723	1401	1204	1951	1501	1037	1541	1281	1464	
1546	1140	1450	1165	1758	2026	1771	1921	1969	1466	2035	1468	1930	1154	1085	1355	1294	1402	1938	1120	1141	1361	0	1178	1980	1818	1746	1236	1949	2048	1829	1278	
1296	2003	1200	1690	1170	1856	1159	1524	1662	1162	1063	1946	1383	1519	1718	1030	1050	1681	1792	1324	1733	1723	1178	0	1421	1096	1974	1830	1084	1691	1778	1803	
1430	1615	1253	1806	1124	2016	1870	1529	1651	1837	1122	1403	1381	1703	1153	1888	1299	1202	1301	1146	1764	1401	1980	1421	0	1569	1752	1617	1051	1243	1612	1035	
1973	1584	2045	1502	1751	1934	1897	1406	1820	1641	1311	1211	1883	1836	1368	1127	2018	1620	1499	1358	1134	1204	1818	1096	1569	0	1376	1562	1781	1222	2005	1914	
1420	1819	1374	1292	1179	1918	1962	1657	1034	1346	1814	1082	1509	1594	1304	1434	1688	1277	1180	1250	1028	1951	1746	1974	1752	1376	0	1704	1893	1333	1385	1125	
2022	1873	1068	1744	1736	1405	1935	1929	1404	1078	1437	1960	1485	1184	1114	1271	1698	1093	1956	1490	1128	1501	1236	1830	1617	1562	1704	0	1024	1665	2009	1991	
1676	1768	1530	1784	1133	1977	1138	1804	1259	1597	1666	1428	1144	1433	1993	1174	1737	1449	1869	1329	1955	1037	1949	1084	1051	1781	1893	1024	0	1578	1825	1875	
1163	1284	1523	1193	1206	1213	1413	1735	1167	1287	1344	1616	1210	1417	1512	1958	2006	1307	1475	1542	1773	1541	2048	1691	1243	1222	1333	1665	1578	0	1906	1716	
1972	1303	1264	1596	1801	1306	1695	1286	1249	1048	1478	1680	1241	1846	1228	1283	1336	1425	1898	1531	1164	1281	1829	1778	1612	2005	1385	2009	1825	1906	0	1353	
1393	1983	1559	1248	1686	1722	1732	1369	1266	1143	1463	1282	1664	1603	1863	1205	1915	1102	1040	1823	1207	1464	1278	1803	1035	1914	1125	1991	1875	1716	1353	0	
